No explicit kubernetes component specified by user. Attempting auto-detection based on release name pattern...
Auto-detected and added component: kubernetes@1.31.12
No explicit cloud-provider-aws component specified by user. Attempting auto-detection based on release name pattern...
Auto-detected and added app: cloud-provider-aws@1.31.5-gs1
No explicit cluster-autoscaler component specified by user. Attempting auto-detection based on release name pattern...
Auto-detected and added app: cluster-autoscaler@1.31.3-gs1
Requested automated bumping of all components and apps.
[2J+------------------------------------+---------------------+---------------------+-----------------------------+
| APP NAME                           | CURRENT APP VERSION | DESIRED APP VERSION | DEPENDENCIES                |
+------------------------------------+---------------------+---------------------+-----------------------------+
| aws-ebs-csi-driver                 | 3.0.5               | Unchanged           | cloud-provider-aws          |
| aws-ebs-csi-driver-servicemonitors | 0.1.0               | Unchanged           | prometheus-operator-crd     |
| aws-nth-bundle                     | 1.2.2               | Unchanged           |                             |
| aws-pod-identity-webhook           | 1.19.1              | Unchanged           | cert-manager                |
| capi-node-labeler                  | 1.1.2               | [32m1.1.3[0m               |                             |
| cert-exporter                      | 2.9.8               | [32m2.9.9[0m               | kyverno-crds                |
| cert-manager                       | 3.9.1               | [32m3.9.2[0m               | prometheus-operator-crd     |
| cert-manager-crossplane-resources  | 0.1.0               | Unchanged           |                             |
| chart-operator-extensions          | 1.1.2               | Unchanged           | prometheus-operator-crd     |
| cilium                             | 1.2.2               | [32m1.3.0[0m               |                             |
| cilium-crossplane-resources        | 0.2.1               | Unchanged           |                             |
| cilium-servicemonitors             | 0.1.3               | Unchanged           | prometheus-operator-crd     |
| cloud-provider-aws                 | 1.31.5-gs1          | Unchanged           | vertical-pod-autoscaler-crd |
| cluster-autoscaler                 | 1.31.3-gs1          | Unchanged           | kyverno-crds                |
| coredns                            | 1.26.0              | [32m1.27.0[0m              | cilium                      |
| coredns-extensions                 | 0.1.2               | Unchanged           | vertical-pod-autoscaler-crd |
| etcd-defrag                        | 1.0.6               | [32m1.0.8[0m               | kyverno-crds                |
| etcd-k8s-res-count-exporter        | 1.10.6              | [32m1.10.7[0m              | kyverno-crds                |
| external-dns                       | 3.2.0               | Unchanged           | prometheus-operator-crd     |
| irsa-servicemonitors               | 0.1.0               | Unchanged           | prometheus-operator-crd     |
| k8s-audit-metrics                  | 0.10.5              | [32m0.10.6[0m              | kyverno-crds                |
| k8s-dns-node-cache                 | 2.9.0               | [32m2.9.1[0m               | kyverno-crds                |
| karpenter-bundle                   | 2.1.0               | [32m2.2.0[0m               | kyverno-crds                |
| karpenter-nodepools                | 0.2.0               | Unchanged           | karpenter                   |
| metrics-server                     | 2.6.0               | [32m2.7.0[0m               | kyverno-crds                |
| net-exporter                       | 1.23.0              | Unchanged           | prometheus-operator-crd     |
| network-policies                   | 0.1.1               | Unchanged           | cilium                      |
| node-exporter                      | 1.20.4              | [32m1.20.5[0m              | kyverno-crds                |
| observability-bundle               | 2.0.0               | [32m2.2.2[0m               | coredns                     |
| observability-policies             | 0.0.2               | Unchanged           | kyverno-crds                |
| prometheus-blackbox-exporter       | 0.5.0               | Unchanged           | prometheus-operator-crd     |
| security-bundle                    | 1.12.0              | Unchanged           | prometheus-operator-crd     |
| teleport-kube-agenGenerating release
